CODIGO_ENTIDAD|NOMBRE|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|DENOMINACION_PROGRAMA|TIPO_GESTION|ESTADO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|LIMA|ADMINISTRACIÓN DE EMPRESAS|PRIVADO|LICENCIA OTORGADA|S|UTP-LIMA|LIMA|LIMA|SL09|LIMA|SAN JUAN DE LURIGANCHO|-11.98329601|-77.00953028|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
8|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|10|LIMA|DERECHO DE LA EMPRESA CON MENCIÓN EN RESPONSABILIDAD SOCIAL|PRIVADO|LICENCIA OTORGADA|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|LIMA|INGENIERÍA MARÍTIMA CON MENCIÓN PUENTE|PRIVADO|LICENCIA OTORGADA|S|UTP-LIMA|LIMA|LIMA|SL02|LIMA|LIMA|-12.06576795|-77.03693393|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|PIURA|MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS - MBA|PRIVADO|LICENCIA OTORGADA|F01|UPCV-PIURA|PIURA|PIURA|F01L01|PIURA|VEINTISEIS DE OCTUBRE|-5.168798939|-80.65734342|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|LAMBAYEQUE|INGENIERÍA DE SISTEMAS E INFORMÁTICA|PRIVADO|LICENCIA OTORGADA|F02|UTP-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|F02L01|CHICLAYO|CHICLAYO|-6.7929064|-79.8644851|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN GERIATRÍA|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
54|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|6|LIMA|MAESTRÍA EN TRADUCCIÓN|PRIVADO|LICENCIA OTORGADA|S|UPC-LIMA|LIMA|LIMA|SL10|LIMA|CHORRILLOS|-12.1964766|-77.0055369|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|23|IDIOMAS|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
41|UNIVERSIDAD NACIONAL DE TUMBES|6|TUMBES|MAESTRÍA EN DERECHO CON MENCIÓN EN DERECHO CONSTITUCIONAL Y ADMINISTRATIVO|PÚBLICO|LICENCIA OTORGADA|S|UNT-TUMBES|TUMBES|TUMBES|SL01|TUMBES|TUMBES|-3.585267|-80.443305|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ODONTOLOGÍA FORENSE|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
3|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|8|APURÍMAC|MAESTRÍA EN CONTABILIDAD MENCIÓN TRIBUTACIÓN|PÚBLICO|LICENCIA OTORGADA|F06|UNSAAC-APURÍMAC|APURÍMAC|ANDAHUAYLAS|F06L01|ANDAHUAYLAS|ANDAHUAYLAS|-13.6616515|-73.3767641|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
10|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|6|JUNÍN|MAESTRÍA EN ADMINISTRACIÓN MENCIÓN MARKETING Y GESTIÓN DE NEGOCIOS INTERNACIONALES|PÚBLICO|LICENCIA OTORGADA|S|UNCP-JUNÍN|JUNÍN|HUANCAYO|SL01|HUANCAYO|EL TAMBO|-12.0330464|-75.237332|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
49|UNIVERSIDAD MARCELINO CHAMPAGNAT|6|LIMA|COMPLEMENTACIÓN ACADÉMICA|PRIVADO|LICENCIA OTORGADA|S|UMCH-LIMA|LIMA|LIMA|SL01|LIMA|SANTIAGO DE SURCO|-12.1363972|-77.0057685|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
